,source_id,source_name,company_name,ultimate_parent_name,country,lat,lon,ultimate_parent_id,company_id,percent_interest_parent,percent_interest_company,percent_company_datasource,percent_parent_datasource,ultimate_parent_revenue_annual (mil),created_date
4995,3164692,D-21 Coal Mine,Industrial Minerals Group,Industrial Minerals Group,USA,37.252158,-82.139736,100000131704,100000131704,100.0,100.0,{14302},{14302},500,49:34.1
4996,3164693,D-29 Darby Fork Coal Mine,Industrial Minerals Group,Industrial Minerals Group,USA,36.876984,-83.011339,100000131704,100000131704,100.0,100.0,{14303},{14303},500,49:34.1
4997,3164694,D-7 Osaka Coal Mine,Industrial Minerals Group,Industrial Minerals Group,USA,36.879167,-82.807222,100000131704,100000131704,100.0,100.0,{14304},{14304},500,49:34.1
4998,3164695,Darmac No. 2 Coal Mine,Rosebud Mining,Rosebud Mining,USA,40.691111,-79.3075,100000132142,100000132142,100.0,100.0,{14305},{14305},115,49:34.1
4999,3164696,Davy Branch Coal Mine,Aracoma Coal,Alpha Metallurgical Resources,USA,37.79972222,-81.94666667,100000131246,100000131280,100.0,100.0,{14306},{14306},4139,49:34.1
5000,3164697,Day Branch Mine,Nally & Hamilton Enterprises,Nally & Hamilton Enterprises,USA,36.750556,-83.228056,100000131963,100000131963,100.0,100.0,{14307},{14307},10,49:34.1
5001,3164698,Decker Mine,Lighthouse Resources,Lighthouse Resources,USA,45.037778,-106.831111,100000131840,100000131840,100.0,100.0,{14308},{14308},344,49:34.1
5002,16414,Deep Mine 41,Paramont Contura,Alpha Metallurgical Resources,USA,37.096111,-82.388333,100000131246,100000132031,100.0,100.0,{14309},{14309},4139,49:34.0
5003,3164700,Deep Mine 44 Coal Mine,Paramont Contura,Alpha Metallurgical Resources,USA,36.696968,-81.982772,100000131246,100000132031,100.0,100.0,{14310},{14310},4139,49:34.1
5004,3164701,Deer Run Mine,Foresight Energy,Foresight Energy,USA,39.145,-89.466389,100000131610,100000131610,100.0,100.0,{14311},{14311},15300,49:34.1
5005,3164702,Deerlick West Mine,Cahaba Resources,Cahaba Resources,USA,33.2725,-87.458056,100000131460,100000131460,100.0,100.0,{14312},{14312},675,49:34.1
5006,3164703,Deserado Coal Mine,Deseret Generation and Transmission Co-Operative,Deseret Generation and Transmission Co-Operative,USA,40.17,-108.73,100001001269,100001001269,100.0,100.0,{14313},{14313},15,49:34.1
5007,16415,Dolet Hills Lignite Coal Mine,Dolet Hills Lignite,American Electric Power,USA,32.011861,-93.605576,100000001140,100000131545,100.0,100.0,{14314},{14314},4025,49:34.0
5008,3164706,Dry Branch Surface Mine,Cleveland-Cliffs,Cleveland-Cliffs,USA,37.498543,-81.860563,100001000649,100001000649,100.0,100.0,{14315},"{7077,14315}",218,49:34.1
5009,16416,Dry Fork Coal Mine,Western Fuels Association,Western Fuels Association,USA,44.65,-105.73,100000132352,100000132352,100.0,100.0,{14316},{14316},4129,49:34.0
