,country,year,gas,emissions_quantity tonnes
597,AUS,2022,co2e_100yr,79432590.66429749
598,AUS,2022,co2e_20yr,238297771.99289247
599,AUS,2022,n2o,0.0
600,AUT,2015,ch4,0.0
601,AUT,2015,co2,0.0
602,AUT,2015,co2e_100yr,0.0
603,AUT,2015,co2e_20yr,0.0
604,AUT,2015,n2o,0.0
605,AUT,2016,ch4,0.0
606,AUT,2016,co2,0.0
607,AUT,2016,co2e_100yr,0.0
608,AUT,2016,co2e_20yr,0.0
609,AUT,2016,n2o,0.0
610,AUT,2017,ch4,0.0
611,AUT,2017,co2,0.0
612,AUT,2017,co2e_100yr,0.0
613,AUT,2017,co2e_20yr,0.0
614,AUT,2017,n2o,0.0
615,AUT,2018,ch4,0.0
616,AUT,2018,co2,0.0
617,AUT,2018,co2e_100yr,0.0
618,AUT,2018,co2e_20yr,0.0
619,AUT,2018,n2o,0.0
620,AUT,2019,ch4,0.0
621,AUT,2019,co2,0.0
622,AUT,2019,co2e_100yr,0.0
623,AUT,2019,co2e_20yr,0.0
624,AUT,2019,n2o,0.0
625,AUT,2020,ch4,0.0
626,AUT,2020,co2,0.0
627,AUT,2020,co2e_100yr,0.0
628,AUT,2020,co2e_20yr,0.0
629,AUT,2020,n2o,0.0
630,AUT,2021,ch4,0.0
631,AUT,2021,co2,0.0
632,AUT,2021,co2e_100yr,0.0
633,AUT,2021,co2e_20yr,0.0
634,AUT,2021,n2o,0.0
635,AUT,2022,ch4,0.0
636,AUT,2022,co2,0.0
637,AUT,2022,co2e_100yr,0.0
638,AUT,2022,co2e_20yr,0.0
639,AUT,2022,n2o,0.0
640,AZE,2015,ch4,0.0
641,AZE,2015,co2,0.0
642,AZE,2015,co2e_100yr,0.0
643,AZE,2015,co2e_20yr,0.0
644,AZE,2015,n2o,0.0
645,AZE,2016,ch4,0.0
646,AZE,2016,co2,0.0
647,AZE,2016,co2e_100yr,0.0
648,AZE,2016,co2e_20yr,0.0
649,AZE,2016,n2o,0.0
650,AZE,2017,ch4,0.0
651,AZE,2017,co2,0.0
652,AZE,2017,co2e_100yr,0.0
653,AZE,2017,co2e_20yr,0.0
654,AZE,2017,n2o,0.0
655,AZE,2018,ch4,0.0
656,AZE,2018,co2,0.0
657,AZE,2018,co2e_100yr,0.0
658,AZE,2018,co2e_20yr,0.0
659,AZE,2018,n2o,0.0
660,AZE,2019,ch4,0.0
661,AZE,2019,co2,0.0
662,AZE,2019,co2e_100yr,0.0
663,AZE,2019,co2e_20yr,0.0
664,AZE,2019,n2o,0.0
665,AZE,2020,ch4,0.0
666,AZE,2020,co2,0.0
667,AZE,2020,co2e_100yr,0.0
668,AZE,2020,co2e_20yr,0.0
669,AZE,2020,n2o,0.0
670,AZE,2021,ch4,0.0
671,AZE,2021,co2,0.0
672,AZE,2021,co2e_100yr,0.0
673,AZE,2021,co2e_20yr,0.0
674,AZE,2021,n2o,0.0
675,AZE,2022,ch4,0.0
676,AZE,2022,co2,0.0
677,AZE,2022,co2e_100yr,0.0
678,AZE,2022,co2e_20yr,0.0
679,AZE,2022,n2o,0.0
680,BDI,2015,ch4,0.0
681,BDI,2015,co2,0.0
682,BDI,2015,co2e_100yr,0.0
683,BDI,2015,co2e_20yr,0.0
684,BDI,2015,n2o,0.0
685,BDI,2016,ch4,0.0
686,BDI,2016,co2,0.0
687,BDI,2016,co2e_100yr,0.0
688,BDI,2016,co2e_20yr,0.0
689,BDI,2016,n2o,0.0
690,BDI,2017,ch4,0.0
691,BDI,2017,co2,0.0
692,BDI,2017,co2e_100yr,0.0
693,BDI,2017,co2e_20yr,0.0
694,BDI,2017,n2o,0.0
695,BDI,2018,ch4,0.0
696,BDI,2018,co2,0.0
697,BDI,2018,co2e_100yr,0.0
698,BDI,2018,co2e_20yr,0.0
699,BDI,2018,n2o,0.0
700,BDI,2019,ch4,0.0
701,BDI,2019,co2,0.0
702,BDI,2019,co2e_100yr,0.0
703,BDI,2019,co2e_20yr,0.0
704,BDI,2019,n2o,0.0
705,BDI,2020,ch4,0.0
706,BDI,2020,co2,0.0
707,BDI,2020,co2e_100yr,0.0
708,BDI,2020,co2e_20yr,0.0
709,BDI,2020,n2o,0.0
710,BDI,2021,ch4,0.0
711,BDI,2021,co2,0.0
712,BDI,2021,co2e_100yr,0.0
713,BDI,2021,co2e_20yr,0.0
714,BDI,2021,n2o,0.0
715,BDI,2022,ch4,0.0
716,BDI,2022,co2,0.0
717,BDI,2022,co2e_100yr,0.0
718,BDI,2022,co2e_20yr,0.0
719,BDI,2022,n2o,0.0
720,BEL,2015,ch4,0.0
721,BEL,2015,co2,0.0
722,BEL,2015,co2e_100yr,0.0
723,BEL,2015,co2e_20yr,0.0
724,BEL,2015,n2o,0.0
725,BEL,2016,ch4,0.0
726,BEL,2016,co2,0.0
727,BEL,2016,co2e_100yr,0.0
728,BEL,2016,co2e_20yr,0.0
729,BEL,2016,n2o,0.0
730,BEL,2017,ch4,0.0
731,BEL,2017,co2,0.0
732,BEL,2017,co2e_100yr,0.0
733,BEL,2017,co2e_20yr,0.0
734,BEL,2017,n2o,0.0
